source_product_id,source_title,source_url,link_type,target_id,target_title,target_url,anchor_text,reason,suggested_placement,http_status,effective_url,redirect_count,http_error,validation
228,"Custom Cylindrical Paper Tube Box",http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,category_hub,,"Paper Tube Packaging",http://localhost/hopgiayvpn/products/paper-tube-packaging/,"paper tube packaging","Connect the product to its most specific existing category hub.","Product introduction or breadcrumb-support paragraph.",200,http://localhost/hopgiayvpn/products/paper-tube-packaging/,0,,VALID_EXISTING_URL
228,"Custom Cylindrical Paper Tube Box",http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,related_product,1220,"CUSTOM COFFEE PAPER TUBE PACKAGING",http://localhost/hopgiayvpn/product/custom-coffee-paper-tube-packaging/,"custom coffee paper tube packaging","Same category with a different packed product, structure or support option.","After the structure/opening section.",200,http://localhost/hopgiayvpn/product/custom-coffee-paper-tube-packaging/,0,,VALID_EXISTING_URL
228,"Custom Cylindrical Paper Tube Box",http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,related_product,1225,"CUSTOM TEA PAPER TUBE PACKAGING",http://localhost/hopgiayvpn/product/custom-tea-paper-tube-packaging/,"custom tea paper tube packaging","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-tea-paper-tube-packaging/,0,,VALID_EXISTING_URL
228,"Custom Cylindrical Paper Tube Box",http://localhost/hopgiayvpn/product/custom-cylindrical-paper-tube-box/,related_product,1215,"CUSTOM CANDLE PAPER TUBE BOX",http://localhost/hopgiayvpn/product/custom-candle-paper-tube-box/,"custom candle paper tube box","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-candle-paper-tube-box/,0,,VALID_EXISTING_URL
229,"Custom Flat Rigid Gift Box with Ribbon",http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,category_hub,,"Rigid Boxes",http://localhost/hopgiayvpn/products/rigid-boxes/,"rigid boxes","Connect the product to its most specific existing category hub.","Product introduction or breadcrumb-support paragraph.",200,http://localhost/hopgiayvpn/products/rigid-boxes/,0,,VALID_EXISTING_URL
229,"Custom Flat Rigid Gift Box with Ribbon",http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,related_product,237,"Custom Rigid Gift Box with Ribbon Closure",http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,"custom rigid gift box with ribbon closure","Same category with a different packed product, structure or support option.","After the structure/opening section.",200,http://localhost/hopgiayvpn/product/custom-rigid-gift-box-with-ribbon-closure/,0,,VALID_EXISTING_URL
229,"Custom Flat Rigid Gift Box with Ribbon",http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,related_product,346,"Custom Rigid Square Gift Box with Foil Logo",http://localhost/hopgiayvpn/product/custom-rigid-square-gift-box-with-foil-logo/,"custom rigid square gift box with foil logo","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-rigid-square-gift-box-with-foil-logo/,0,,VALID_EXISTING_URL
229,"Custom Flat Rigid Gift Box with Ribbon",http://localhost/hopgiayvpn/product/custom-flat-rigid-gift-box-with-ribbon/,related_product,944,"PREMIUM PICKLEBALL SET RIGID PAPER BOX",http://localhost/hopgiayvpn/product/premium-pickleball-set-rigid-paper-box/,"premium pickleball set rigid paper box","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/premium-pickleball-set-rigid-paper-box/,0,,VALID_EXISTING_URL
230,"Custom Pastry Display Box with Drawer",http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,category_hub,,"Bakery Packaging Boxes",http://localhost/hopgiayvpn/products/bakery-packaging-boxes/,"bakery packaging boxes","Connect the product to its most specific existing category hub.","Product introduction or breadcrumb-support paragraph.",200,http://localhost/hopgiayvpn/products/bakery-packaging-boxes/,0,,VALID_EXISTING_URL
230,"Custom Pastry Display Box with Drawer",http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,related_product,416,"Custom Pastry Gift Box with Insert",http://localhost/hopgiayvpn/product/custom-pastry-gift-box-with-insert/,"custom pastry gift box with insert","Same category with a different packed product, structure or support option.","After the structure/opening section.",200,http://localhost/hopgiayvpn/product/custom-pastry-gift-box-with-insert/,0,,VALID_EXISTING_URL
230,"Custom Pastry Display Box with Drawer",http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,related_product,248,"Custom Pastry Sleeve Box with Insert",http://localhost/hopgiayvpn/product/custom-pastry-sleeve-box-with-insert/,"custom pastry sleeve box with insert","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-pastry-sleeve-box-with-insert/,0,,VALID_EXISTING_URL
230,"Custom Pastry Display Box with Drawer",http://localhost/hopgiayvpn/product/custom-pastry-display-box-with-drawer/,related_product,357,"Custom Kraft Pastry Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-kraft-pastry-drawer-box-with-insert/,"custom kraft pastry drawer box with insert","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-kraft-pastry-drawer-box-with-insert/,0,,VALID_EXISTING_URL
231,"Custom Wine Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,category_hub,,"Drawer Boxes",http://localhost/hopgiayvpn/products/drawer-boxes/,"drawer boxes","Connect the product to its most specific existing category hub.","Product introduction or breadcrumb-support paragraph.",200,http://localhost/hopgiayvpn/products/drawer-boxes/,0,,VALID_EXISTING_URL
231,"Custom Wine Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,related_product,236,"Custom Wallet Drawer Box",http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,"custom wallet drawer box","Same category with a different packed product, structure or support option.","After the structure/opening section.",200,http://localhost/hopgiayvpn/product/custom-wallet-drawer-box/,0,,VALID_EXISTING_URL
231,"Custom Wine Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,related_product,245,"Custom Apparel Drawer Box with Ribbon Pull",http://localhost/hopgiayvpn/product/custom-apparel-drawer-box-with-ribbon-pull/,"custom apparel drawer box with ribbon pull","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-apparel-drawer-box-with-ribbon-pull/,0,,VALID_EXISTING_URL
231,"Custom Wine Drawer Box with Insert",http://localhost/hopgiayvpn/product/custom-wine-drawer-box-with-insert/,related_product,780,"CUSTOM DRAWER GIFT BOX",http://localhost/hopgiayvpn/product/custom-drawer-gift-box/,"custom drawer gift box","Same category with a different packed product, structure or support option.","After the insert, material or use-case section.",200,http://localhost/hopgiayvpn/product/custom-drawer-gift-box/,0,,VALID_EXISTING_URL
232,"Luxury Wine Bottle Packaging Boxes",http://localhost/hopgiayvpn/product/luxury-wine-bottle-packaging-boxes/,category_hub,,"Gift Paper Boxes",http://localhost/hopgiayvpn/products/gift-paper-boxes/,"gift paper boxes","Connect the product to its most specific existing category hub.","Product introduction or breadcrumb-support paragraph.",200,http://localhost/hopgiayvpn/products/gift-paper-boxes/,0,,VALID_EXISTING_URL
